Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
8,Spring,center,Light,xz+,0.108354,2,True
8,Baseline,center,Light,xz+,0.050858,2,True
9,Displacement,center,Light,xz+,0.027543,2,True
9,Extrapolation,center,Light,xz+,0.046024,2,True
9,Spring,center,Light,xz+,0.110133,2,True
9,Baseline,center,Light,xz+,0.057550,2,True
10,Displacement,center,Light,xz+,0.030807,2,True
10,Extrapolation,center,Light,xz+,0.044376,2,True
10,Spring,center,Light,xz+,0.112270,2,True
10,Baseline,center,Light,xz+,0.065764,2,True
1,Displacement,center,Medium,xz+,0.035585,2,True
1,Extrapolation,center,Medium,xz+,0.046023,2,True
1,Spring,center,Medium,xz+,0.116269,2,True
1,Baseline,center,Medium,xz+,0.075567,2,True
2,Displacement,center,Medium,xz+,0.038361,2,True
2,Extrapolation,center,Medium,xz+,0.047034,2,True
2,Spring,center,Medium,xz+,0.119375,2,True
2,Baseline,center,Medium,xz+,0.082585,2,True
3,Displacement,center,Medium,xz+,0.041922,2,True
3,Extrapolation,center,Medium,xz+,0.048161,2,True
3,Spring,center,Medium,xz+,0.123007,2,True
3,Baseline,center,Medium,xz+,0.090795,2,True
4,Displacement,center,Medium,xz+,0.048971,2,True
4,Extrapolation,center,Medium,xz+,0.050579,2,True
4,Spring,center,Medium,xz+,0.129134,2,True
4,Baseline,center,Medium,xz+,0.102598,2,True
5,Displacement,center,Medium,xz+,0.051516,2,True
5,Extrapolation,center,Medium,xz+,0.054704,2,True
5,Spring,center,Medium,xz+,0.132689,2,True
5,Baseline,center,Medium,xz+,0.109343,2,True
6,Displacement,center,Medium,xz+,0.051728,2,True
6,Extrapolation,center,Medium,xz+,0.056170,2,True
6,Spring,center,Medium,xz+,0.135190,2,True
6,Baseline,center,Medium,xz+,0.113642,2,True
7,Displacement,center,Medium,xz+,0.064686,2,True
7,Extrapolation,center,Medium,xz+,0.061104,2,True
7,Spring,center,Medium,xz+,0.145019,2,True
7,Baseline,center,Medium,xz+,0.128838,2,True
8,Displacement,center,Medium,xz+,0.075272,2,True
8,Extrapolation,center,Medium,xz+,0.072764,2,True
8,Spring,center,Medium,xz+,0.155127,2,True
8,Baseline,center,Medium,xz+,0.142616,2,True
9,Displacement,center,Medium,xz+,0.083520,2,True
9,Extrapolation,center,Medium,xz+,0.079254,2,True
