Run,Model,Location,Intensity,Direction,Value,Occlusions
3,Spring,center,Strong,xz-,0.083200, 2 
4,Displacement,center,Strong,xz-,0.059925, 2 
4,Extrapolation,center,Strong,xz-,0.035847, 2 
4,Spring,center,Strong,xz-,0.089191, 2 
5,Displacement,center,Strong,xz-,0.064129, 2 
5,Extrapolation,center,Strong,xz-,0.047541, 2 
5,Spring,center,Strong,xz-,0.092776, 2 
6,Displacement,center,Strong,xz-,0.058761, 2 
6,Extrapolation,center,Strong,xz-,0.032716, 2 
6,Spring,center,Strong,xz-,0.092738, 2 
7,Displacement,center,Strong,xz-,0.065514, 3 
7,Extrapolation,center,Strong,xz-,0.042991, 3 
7,Spring,center,Strong,xz-,0.088384, 3 
8,Displacement,center,Strong,xz-,0.069281, 3 
8,Extrapolation,center,Strong,xz-,0.045615, 3 
